iter	Passed	Remaining
236	652	2100
237	654	2094
238	656	2089
239	658	2084
240	660	2079
241	662	2073
242	663	2068
243	665	2062
244	667	2057
245	669	2052
246	671	2047
247	673	2042
248	675	2037
249	677	2032
250	679	2027
251	681	2021
252	683	2016
253	684	2011
254	686	2006
255	688	2001
256	690	1996
257	691	1989
258	693	1984
259	695	1979
260	697	1974
261	699	1969
262	701	1964
263	702	1959
264	704	1954
265	706	1949
266	708	1945
267	710	1940
268	712	1935
269	714	1930
270	716	1926
271	718	1921
272	720	1917
273	722	1913
274	723	1908
275	725	1903
276	727	1899
277	729	1894
278	731	1890
279	733	1886
280	735	1882
281	737	1877
282	739	1873
283	741	1869
284	743	1864
285	745	1860
286	746	1855
287	748	1851
288	750	1847
289	752	1842
290	754	1838
291	756	1833
292	758	1829
293	760	1825
294	761	1820
295	763	1816
296	765	1812
297	767	1808
298	769	1804
299	771	1800
300	773	1796
301	775	1791
302	777	1788
303	779	1784
304	781	1780
305	783	1776
306	785	1772
307	786	1768
308	788	1764
309	790	1760
310	792	1756
311	794	1752
312	796	1748
313	798	1744
314	800	1740
315	802	1736
316	804	1732
317	806	1729
318	808	1725
319	809	1721
320	811	1717
321	813	1713
322	815	1709
323	817	1705
324	819	1702
325	821	1698
326	823	1694
327	825	1690
328	827	1687
329	829	1683
330	831	1679
331	832	1675
332	835	1672
333	836	1668
334	838	1665
335	841	1662
336	842	1658
337	844	1654
338	848	1654
339	850	1650
340	852	1647
341	854	1643
342	856	1640
343	858	1637
344	860	1633
345	862	1630
346	864	1626
347	866	1623
348	868	1620
349	870	1616
350	872	1613
351	874	1610
352	876	1606
353	878	1602
354	880	1599
355	882	1596
356	884	1592
357	886	1589
358	888	1586
359	890	1582
360	892	1579
361	894	1575
362	896	1572
363	898	1569
364	900	1565
365	902	1562
366	904	1559
367	906	1556
368	908	1553
369	910	1549
370	912	1546
371	914	1543
372	916	1539
373	918	1536
374	920	1533
375	922	1530
376	923	1526
377	925	1523
378	927	1520
379	930	1517
380	932	1514
381	934	1512
382	936	1509
383	939	1506
384	941	1503
385	943	1500
386	945	1497
387	947	1494
388	950	1492
389	952	1489
390	954	1486
391	956	1483
392	958	1480
393	960	1477
394	962	1474
395	965	1471
396	967	1468
397	969	1466
398	971	1462
399	973	1459
400	975	1456
401	977	1453
402	979	1450
403	981	1447
404	983	1444
405	985	1442
406	987	1438
407	989	1435
408	991	1432
409	993	1429
410	995	1426
411	997	1423
412	999	1420
413	1001	1417
414	1003	1414
415	1005	1411
416	1007	1408
417	1009	1405
418	1011	1402
419	1013	1399
420	1015	1396
421	1017	1393
422	1019	1390
423	1021	1387
424	1023	1384
425	1025	1382
426	1027	1378
427	1029	1376
428	1031	1373
429	1033	1370
430	1035	1367
431	1037	1364
432	1039	1361
433	1041	1358
434	1043	1355
435	1045	1352
436	1047	1349
437	1049	1346
438	1051	1344
439	1053	1341
440	1055	1338
441	1057	1335
442	1059	1332
443	1061	1329
444	1063	1326
445	1065	1323
446	1067	1321
447	1069	1318
448	1071	1315
449	1073	1312
450	1075	1309
451	1077	1306
452	1079	1303
453	1081	1300
454	1083	1297
455	1085	1294
456	1087	1291
457	1089	1288
458	1091	1286
459	1093	1283
460	1094	1280
461	1096	1277
462	1098	1274
463	1100	1271
464	1102	1268
465	1104	1265
466	1106	1262
467	1108	1259
468	1109	1256
469	1111	1253
470	1113	1250
471	1115	1248
472	1117	1245
473	1119	1242
474	1121	1239
475	1123	1236
476	1125	1233
477	1127	1231
478	1129	1228
479	1131	1225
480	1133	1222
481	1135	1219
482	1137	1217
483	1139	1214
484	1141	1211
485	1142	1208
486	1144	1205
487	1146	1203
488	1148	1200
489	1150	1197
490	1152	1194
491	1154	1191
492	1156	1188
493	1158	1186
494	1159	1183
495	1161	1180
496	1163	1177
497	1165	1175
498	1167	1172
499	1169	1169
500	1171	1167
501	1173	1164
502	1175	1161
503	1177	1158
504	1179	1156
505	1181	1153
506	1183	1150
507	1185	1147
508	1187	1145
509	1189	1142
510	1191	1139
511	1192	1137
512	1195	1134
513	1197	1131
514	1199	1129
515	1201	1126
516	1203	1124
517	1205	1121
518	1207	1118
519	1208	1115
520	1210	1113
521	1212	1110
522	1214	1108
523	1216	1105
524	1218	1102
525	1220	1099
526	1222	1097
527	1224	1094
528	1226	1091
529	1228	1089
530	1230	1086
531	1232	1083
532	1234	1081
533	1235	1078
534	1237	1075
535	1239	1073
536	1241	1070
537	1243	1067
538	1245	1065
539	1247	1062
540	1249	1059
541	1251	1057
542	1252	1054
543	1254	1051
544	1257	1049
545	1258	1046
546	1261	1044
547	1262	1041
548	1265	1039
549	1266	1036
550	1268	1033
551	1270	1031
552	1272	1028
553	1274	1025
554	1276	1023
555	1278	1020
556	1280	1018
557	1281	1015
558	1283	1012
559	1285	1010
560	1287	1007
561	1289	1004
562	1291	1002
563	1293	999
564	1294	996
565	1296	994
566	1298	991
567	1300	989
568	1302	986
569	1304	984
570	1306	981
571	1308	978
572	1310	976
573	1312	973
574	1313	971
575	1316	968
576	1318	966
577	1319	963
578	1321	961
579	1323	958
580	1325	955
581	1327	953
582	1329	950
583	1331	948
584	1333	945
585	1335	943
586	1336	940
587	1338	938
588	1340	935
589	1342	933
590	1344	930
591	1347	928
592	1349	926
593	1351	923
594	1352	920
595	1354	918
596	1356	915
597	1358	913
598	1360	910
599	1362	908
600	1364	905
601	1366	903
602	1368	901
603	1370	898
604	1372	896
605	1374	893
606	1376	891
607	1378	888
608	1380	886
609	1382	883
610	1384	881
611	1386	878
612	1387	876
613	1389	873
614	1391	871
615	1393	868
616	1395	866
617	1397	863
618	1399	861
619	1401	858
620	1403	856
621	1405	853
622	1407	851
623	1409	849
624	1411	846
625	1412	844
626	1414	841
627	1416	839
628	1418	836
629	1420	834
630	1422	831
631	1424	829
632	1426	827
633	1428	824
634	1430	822
635	1432	819
636	1434	817
637	1436	814
638	1437	812
639	1439	809
640	1441	807
641	1443	804
642	1445	802
643	1447	800
644	1449	797
645	1451	795
646	1453	792
647	1455	790
648	1456	787
649	1458	785
650	1460	783
651	1462	780
652	1464	778
653	1466	775
654	1468	773
655	1470	771
656	1472	768
657	1474	766
658	1476	763
659	1478	761
660	1479	759
661	1481	756
662	1483	754
663	1485	751
664	1487	749
665	1489	747
666	1491	744
667	1493	742
668	1495	739
669	1497	737
670	1499	735
671	1501	732
672	1502	730
673	1504	727
674	1506	725
675	1508	723
676	1510	720
677	1512	718
678	1514	716
679	1516	713
680	1518	711
681	1520	709
682	1522	706
683	1524	704
684	1526	701
685	1528	699
686	1530	697
687	1532	694
688	1534	692
689	1536	690
690	1538	687
691	1539	685
692	1541	683
693	1543	680
694	1545	678
695	1547	676
696	1549	673
697	1551	671
698	1553	668
699	1555	666
700	1557	664
701	1559	661
702	1561	659
703	1562	657
704	1564	654
705	1566	652
706	1568	650
707	1570	647
708	1572	645
709	1574	643
710	1576	640
711	1578	638
712	1580	636
713	1582	633
714	1584	631
715	1586	629
716	1588	626
717	1590	624
718	1591	622
719	1593	619
720	1595	617
721	1597	615
722	1599	612
723	1601	610
724	1603	608
725	1605	605
726	1607	603
727	1609	601
728	1611	598
729	1613	596
730	1615	594
731	1617	592
732	1618	589
733	1620	587
734	1622	585
735	1624	582
736	1626	580
737	1628	578
738	1630	575
739	1632	573
740	1634	571
741	1635	568
742	1637	566
743	1639	564
744	1641	561
745	1643	559
746	1645	557
747	1647	555
748	1649	552
749	1651	550
750	1653	548
751	1655	545
752	1657	543
753	1659	541
754	1661	539
755	1663	536
756	1665	534
757	1667	532
758	1669	529
759	1671	527
760	1673	525
761	1675	523
762	1677	521
763	1679	518
764	1681	516
765	1683	514
766	1685	512
767	1687	509
768	1689	507
769	1691	505
770	1692	502
771	1694	500
772	1696	498
773	1698	496
774	1700	493
775	1702	491
776	1704	489
777	1706	487
778	1708	484
779	1712	483
780	1714	480
781	1716	478
782	1718	476
783	1720	473
784	1722	471
785	1724	469
786	1725	467
787	1727	464
788	1729	462
789	1731	460
790	1733	458
791	1735	455
792	1737	453
793	1739	451
794	1741	449
795	1743	446
796	1745	444
797	1747	442
798	1749	440
799	1751	437
800	1753	435
801	1755	433
802	1757	431
803	1759	428
804	1760	426
805	1762	424
806	1764	422
807	1766	419
808	1768	417
809	1770	415
810	1772	413
811	1774	410
812	1776	408
813	1778	406
814	1780	404
815	1782	401
816	1784	399
817	1786	397
818	1788	395
819	1790	393
820	1792	390
821	1794	388
822	1796	386
823	1798	384
824	1800	381
825	1801	379
826	1803	377
827	1805	375
828	1807	372
829	1809	370
830	1811	368
831	1813	366
832	1815	363
833	1817	361
834	1819	359
835	1821	357
836	1822	355
837	1824	352
838	1827	350
839	1829	348
840	1831	346
841	1833	343
842	1834	341
843	1836	339
844	1838	337
845	1840	335
846	1842	332
847	1844	330
848	1846	328
849	1848	326
850	1850	324
851	1852	321
852	1854	319
853	1856	317
854	1858	315
855	1860	312
856	1862	310
857	1864	308
858	1866	306
859	1868	304
860	1870	301
861	1872	299
862	1874	297
863	1876	295
864	1878	293
865	1880	290
866	1882	288
867	1883	286
868	1885	284
869	1887	282
870	1889	279
871	1891	277
872	1893	275
873	1895	273
874	1897	271
875	1899	268
876	1901	266
877	1903	264
878	1905	262
879	1907	260
880	1908	257
881	1910	255
882	1912	253
883	1914	251
884	1916	249
885	1918	246
886	1920	244
887	1923	242
888	1924	240
889	1927	238
890	1929	235
891	1931	233
892	1932	231
893	1934	229
894	1936	227
895	1938	225
896	1940	222
897	1942	220
898	1944	218
899	1946	216
900	1948	214
901	1950	211
902	1952	209
903	1954	207
904	1956	205
905	1958	203
906	1960	201
907	1962	198
908	1964	196
909	1966	194
910	1967	192
911	1969	190
912	1971	187
913	1973	185
914	1975	183
915	1977	181
916	1979	179
917	1981	176
918	1983	174
919	1985	172
920	1987	170
921	1989	168
922	1991	166
923	1993	163
924	1995	161
925	1997	159
926	1999	157
927	2001	155
928	2002	153
929	2004	150
930	2006	148
931	2008	146
932	2011	144
933	2013	142
934	2014	140
935	2016	137
936	2018	135
937	2020	133
938	2022	131
939	2024	129
940	2026	127
941	2028	124
942	2030	122
943	2032	120
944	2034	118
945	2036	116
946	2038	114
947	2040	111
948	2042	109
949	2044	107
950	2046	105
951	2048	103
952	2050	101
953	2052	98
954	2054	96
955	2056	94
956	2057	92
957	2059	90
958	2061	88
959	2063	85
960	2065	83
961	2067	81
962	2069	79
963	2071	77
964	2073	75
965	2075	73
966	2077	70
967	2079	68
968	2081	66
969	2083	64
970	2085	62
971	2087	60
972	2089	57
973	2091	55
974	2092	53
975	2094	51
976	2096	49
977	2098	47
978	2100	45
979	2102	42
980	2104	40
981	2106	38
982	2108	36
983	2110	34
984	2112	32
985	2113	30
986	2115	27
987	2117	25
988	2119	23
989	2121	21
990	2123	19
991	2125	17
992	2127	14
993	2129	12
994	2131	10
995	2133	8
996	2134	6
997	2136	4
998	2138	2
999	2140	0
